id,text,author
id11810,"Uprearing themselves in tall slender lines of light, they thus remained burning all pallid and motionless; and in the mirror which their lustre formed upon the round table of ebony at which we sat, each of us there assembled beheld the pallor of his own countenance, and the unquiet glare in the downcast eyes of his companions.",EAP
id14999,Evidently the ticket agent had not exaggerated the dislike which local people bore toward Innsmouth and its denizens.,HPL
id03864,"I was now in Holborn, and passed by a public house filled with uproarious companions, whose songs, laughter, and shouts were more sorrowful than the pale looks and silence of the mourner.",MWS
id27347,"If I were awake I should like to die, but now it is no matter.",EAP
id05564,"I rambled on, oppressed, distracted by painful emotions suddenly I found myself before Drury Lane Theatre.",MWS
id27054,"He supposes that, had this been the case, it might have appeared at the surface on the Wednesday, and thinks that only under such circumstances it could so have appeared.",EAP
id09646,"Then came the frenzied tones again: ""Carter, it's terrible monstrous unbelievable"" This time my voice did not fail me, and I poured into the transmitter a flood of excited questions.",HPL
id11380,"Excellent friend how sincerely you did love me, and endeavour to elevate my mind until it was on a level with your own.",MWS
id21281,"While in London these and many other dreadful thoughts too harrowing for words were my portion: I lost all this suffering when I was free; when I saw the wild heath around me, and the evening star in the west, then I could weep, gently weep, and be at peace.",MWS
id15493,"And yet, as the members severally shook their heads and confessed defeat at the Inspector's problem, there was one man in that gathering who suspected a touch of bizarre familiarity in the monstrous shape and writing, and who presently told with some diffidence of the odd trifle he knew.",HPL
id26916,"""What can I do?"" she cried, ""I am lost we are both for ever lost But come come with me, Lionel; here I must not stay, we can get a chaise at the nearest post house; yet perhaps we have time come, O come with me to save and protect me"" When I heard her piteous demands, while with disordered dress, dishevelled hair, and aghast looks, she wrung her hands the idea shot across me is she also mad? ""Sweet one,"" and I folded her to my heart, ""better repose than wander further; rest my beloved, I will make a fire you are chill.""",MWS
id07810,"My productions however were sufficiently unpretending; they were confined to the biography of favourite historical characters, especially those whom I believed to have been traduced, or about whom clung obscurity and doubt.",MWS
id24830,But I was enchanted by the appearance of the hut; here the snow and rain could not penetrate; the ground was dry; and it presented to me then as exquisite and divine a retreat as Pandemonium appeared to the demons of hell after their sufferings in the lake of fire.,MWS
